timestamp,modelo,prediccion,data
2025-10-12T20:38:27,lightgbm,[1],"[{""Designation"":0.7484871375,""Resource Allocation"":0.8084149948,""Mental Fatigue Score"":-0.8565079282,""Work Hours per Week"":-1.2538564823,""Sleep Hours"":1.9682263808,""Work-Life Balance Score"":0.9964434291,""Manager Support Score"":0.9548639372,""Deadline Pressure Score"":-1.0301949436,""Team Size"":-1.1684095824,""Recognition Frequency"":1.9045232098,""Gender_Male"":1.0867737555,""Company Type_Service"":0.7316572184,""WFH Setup Available_Yes"":0.9294639147}]"
2025-10-12T20:38:27,lightgbm,[1],"[{""Designation"":-1.0541429723,""Resource Allocation"":-0.694418343,""Mental Fatigue Score"":0.0389457987,""Work Hours per Week"":-0.7522670936,""Sleep Hours"":0.4656367451,""Work-Life Balance Score"":0.3753867991,""Manager Support Score"":0.1473870962,""Deadline Pressure Score"":-1.712507261,""Team Size"":1.1900947898,""Recognition Frequency"":0.0807219826,""Gender_Male"":1.070593255,""Company Type_Service"":0.7305756914,""WFH Setup Available_Yes"":-1.0595747265}]"
2025-10-12T20:38:27,lightgbm,[0],"[{""Designation"":-1.8250102024,""Resource Allocation"":-1.6700959824,""Mental Fatigue Score"":-2.0796956632,""Work Hours per Week"":-1.7214998605,""Sleep Hours"":0.488727105,""Work-Life Balance Score"":1.7252933269,""Manager Support Score"":1.0418057415,""Deadline Pressure Score"":-1.797850161,""Team Size"":1.2949574595,""Recognition Frequency"":0.7324852166,""Gender_Male"":-0.8763191554,""Company Type_Service"":0.687445287,""WFH Setup Available_Yes"":0.9230922688}]"
2025-10-12T20:38:28,lightgbm,[1],"[{""Designation"":-0.1173981566,""Resource Allocation"":0.287026986,""Mental Fatigue Score"":0.5158867915,""Work Hours per Week"":0.6663120716,""Sleep Hours"":-0.6866091429,""Work-Life Balance Score"":-0.3169350122,""Manager Support Score"":-0.6777746253,""Deadline Pressure Score"":1.1268590063,""Team Size"":-0.6366824313,""Recognition Frequency"":-0.4258828509,""Gender_Male"":1.0509714869,""Company Type_Service"":0.6847703373,""WFH Setup Available_Yes"":-1.0974566684}]"
2025-10-12T20:38:28,lightgbm,[0],"[{""Designation"":-0.1626629289,""Resource Allocation"":-0.6472471051,""Mental Fatigue Score"":-0.5411994153,""Work Hours per Week"":-0.7403807407,""Sleep Hours"":1.1847405836,""Work-Life Balance Score"":0.2993333364,""Manager Support Score"":1.0274202421,""Deadline Pressure Score"":-0.3849368907,""Team Size"":0.8068725564,""Recognition Frequency"":1.937540788,""Gender_Male"":1.0311812273,""Company Type_Service"":0.6740574162,""WFH Setup Available_Yes"":-1.1236673296}]"
2025-10-12T20:38:28,lightgbm,[1],"[{""Designation"":0.6935993038,""Resource Allocation"":0.2185025095,""Mental Fatigue Score"":-0.5779290052,""Work Hours per Week"":-1.2809766616,""Sleep Hours"":0.40869527,""Work-Life Balance Score"":1.7857514296,""Manager Support Score"":0.17650763,""Deadline Pressure Score"":-0.3516980496,""Team Size"":0.0309475015,""Recognition Frequency"":1.2671905347,""Gender_Male"":-0.8967877577,""Company Type_Service"":-1.3811932434,""WFH Setup Available_Yes"":0.9197497699}]"
2025-10-12T20:38:28,lightgbm,[0],"[{""Designation"":-0.2187842237,""Resource Allocation"":-0.8090899046,""Mental Fatigue Score"":-1.0509053648,""Work Hours per Week"":-1.6453947602,""Sleep Hours"":1.8502732456,""Work-Life Balance Score"":0.9830252265,""Manager Support Score"":1.6687825154,""Deadline Pressure Score"":-1.7864399715,""Team Size"":-0.43916362,""Recognition Frequency"":1.9131015849,""Gender_Male"":-0.9037214189,""Company Type_Service"":-1.3181835606,""WFH Setup Available_Yes"":1.0224254278}]"
2025-10-12T20:38:29,lightgbm,[1],"[{""Designation"":0.6398085932,""Resource Allocation"":1.1909598855,""Mental Fatigue Score"":0.5483883081,""Work Hours per Week"":1.1936336464,""Sleep Hours"":-0.6478179402,""Work-Life Balance Score"":-1.08894363,""Manager Support Score"":-0.5634895943,""Deadline Pressure Score"":0.4339841227,""Team Size"":-1.3879833166,""Recognition Frequency"":-1.0456251137,""Gender_Male"":-0.9602149763,""Company Type_Service"":0.7089599604,""WFH Setup Available_Yes"":-1.1597177772}]"
2025-10-12T20:38:29,lightgbm,[1],"[{""Designation"":-0.9987571649,""Resource Allocation"":-0.7430597213,""Mental Fatigue Score"":0.2629485029,""Work Hours per Week"":0.1335214457,""Sleep Hours"":-0.5575914293,""Work-Life Balance Score"":-1.0489164395,""Manager Support Score"":-1.4920398215,""Deadline Pressure Score"":0.3721050525,""Team Size"":-0.0038756892,""Recognition Frequency"":-1.0058443379,""Gender_Male"":1.0891574032,""Company Type_Service"":-1.3516564861,""WFH Setup Available_Yes"":0.9496455714}]"
2025-10-12T20:38:29,lightgbm,[1],"[{""Designation"":-0.1969817568,""Resource Allocation"":0.2686497954,""Mental Fatigue Score"":-0.0881497723,""Work Hours per Week"":0.1116603222,""Sleep Hours"":-1.7741190006,""Work-Life Balance Score"":-0.3967050795,""Manager Support Score"":-1.4940566167,""Deadline Pressure Score"":1.0617715073,""Team Size"":1.0056879841,""Recognition Frequency"":-0.4625351582,""Gender_Male"":-0.8981403917,""Company Type_Service"":-1.3693819534,""WFH Setup Available_Yes"":-1.1075676838}]"
